filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes,set
0.jpg,26046,{},1,0,"{""name"":""polygon"",""all_points_x"":[41,82,83,43],""all_points_y"":[194,198,232,227]}",{},
1.jpg,14658,{},1,0,"{""name"":""polygon"",""all_points_x"":[15,54,55,16],""all_points_y"":[145,150,182,177]}",{},
1_64.jpg,118441,{},1,0,"{""name"":""polygon"",""all_points_x"":[406,433,435,409],""all_points_y"":[134,134,152,154]}",{},
1_98.jpg,116931,{},1,0,"{""name"":""polygon"",""all_points_x"":[444,488,490,447],""all_points_y"":[253,248,281,286]}",{},
1_142.jpg,117008,{},1,0,"{""name"":""polygon"",""all_points_x"":[407,436,437,408],""all_points_y"":[154,154,174,176]}",{},
1_170.jpg,109139,{},2,0,"{""name"":""polygon"",""all_points_x"":[98,140,140,98],""all_points_y"":[296,301,337,331]}",{},
1_170.jpg,109139,{},2,1,"{""name"":""polygon"",""all_points_x"":[530,573,571,528],""all_points_y"":[314,305,341,352]}",{},
1_180.jpg,112597,{},2,0,"{""name"":""polygon"",""all_points_x"":[122,162,161,123],""all_points_y"":[255,256,290,288]}",{},
1_180.jpg,112597,{},2,1,"{""name"":""polygon"",""all_points_x"":[499,541,541,499],""all_points_y"":[269,262,296,304]}",{},
1_436.jpg,122865,{},2,0,"{""name"":""polygon"",""all_points_x"":[104,148,149,103],""all_points_y"":[301,308,346,338]}",{},
1_436.jpg,122865,{},2,1,"{""name"":""polygon"",""all_points_x"":[438,490,493,442],""all_points_y"":[283,276,314,323]}",{},
1_448.jpg,123488,{},2,0,"{""name"":""polygon"",""all_points_x"":[134,174,174,133],""all_points_y"":[247,250,283,280]}",{},
1_448.jpg,123488,{},2,1,"{""name"":""polygon"",""all_points_x"":[427,472,476,430],""all_points_y"":[247,243,277,282]}",{},
1_576.jpg,117341,{},2,0,"{""name"":""polygon"",""all_points_x"":[141,182,183,143],""all_points_y"":[273,276,308,306]}",{},
1_576.jpg,117341,{},2,1,"{""name"":""polygon"",""all_points_x"":[547,586,582,545],""all_points_y"":[321,310,344,356]}",{},
1_594.jpg,120878,{},2,0,"{""name"":""polygon"",""all_points_x"":[144,183,185,145],""all_points_y"":[278,280,313,310]}",{},
1_594.jpg,120878,{},2,1,"{""name"":""polygon"",""all_points_x"":[462,494,494,462],""all_points_y"":[199,199,226,227]}",{},
1_642.jpg,118554,{},2,0,"{""name"":""polygon"",""all_points_x"":[138,177,180,140],""all_points_y"":[293,297,329,324]}",{},
1_642.jpg,118554,{},2,1,"{""name"":""polygon"",""all_points_x"":[512,557,559,515],""all_points_y"":[283,277,311,319]}",{},
